Condition;File;Line number
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;91
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;92
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;93
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;94
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;95
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;96
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;97
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;98
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;99
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;100
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;102
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;103
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;104
experimental;/opt/indico/src/indico/web/templates/forms/multiple_items_widget.html;105
experimental;/opt/indico/src/indico/modules/events/controllers/admin.py;85
experimental;/opt/indico/src/indico/modules/events/controllers/admin.py;105
experimental;/opt/indico/src/indico/modules/events/controllers/admin.py;106
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;1
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;2
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;4
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;5
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;6
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;7
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;8
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;10
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;11
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;13
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;14
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;15
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;16
experimental;/opt/indico/src/indico/modules/events/templates/admin/event_labels.html;17
