Experiment;Condition;Run;Sequence;Time
exp1c;plain;24;7;368479
exp1c;plain;24;8;359155
exp1c;plain;24;9;359561
exp1c;plain;24;10;370939
exp1c;control-defaultactionselection;8;1;2630252
exp1c;control-defaultactionselection;8;2;3595079
exp1c;control-defaultactionselection;8;3;3079953
exp1c;control-defaultactionselection;8;4;3226809
exp1c;control-defaultactionselection;8;5;3551978
exp1c;control-defaultactionselection;8;6;3360984
exp1c;control-defaultactionselection;8;7;3347565
exp1c;control-defaultactionselection;8;8;3476300
exp1c;control-defaultactionselection;8;9;2887765
exp1c;control-defaultactionselection;8;10;685782
exp1c;plain;13;1;363413
exp1c;plain;13;2;370088
exp1c;plain;13;3;365049
exp1c;plain;13;4;335522
exp1c;plain;13;5;363686
exp1c;plain;13;6;368638
exp1c;plain;13;7;348425
exp1c;plain;13;8;343570
exp1c;plain;13;9;375233
exp1c;plain;13;10;338138
exp1c;control-defaultactionselection;25;1;3821750
exp1c;control-defaultactionselection;25;2;3399968
exp1c;control-defaultactionselection;25;3;3245929
exp1c;control-defaultactionselection;25;4;3085270
exp1c;control-defaultactionselection;25;5;2843925
exp1c;control-defaultactionselection;25;6;2876832
exp1c;control-defaultactionselection;25;7;3470700
exp1c;control-defaultactionselection;25;8;3593229
exp1c;control-defaultactionselection;25;9;3642891
exp1c;control-defaultactionselection;25;10;762289
exp1c;control-customactionselection;32;1;2863705
exp1c;control-customactionselection;32;2;2901101
exp1c;control-customactionselection;32;3;2860589
exp1c;control-customactionselection;32;4;2738365
exp1c;control-customactionselection;32;5;2809779
exp1c;control-customactionselection;32;6;2773202
exp1c;control-customactionselection;32;7;2784193
exp1c;control-customactionselection;32;8;2695441
exp1c;control-customactionselection;32;9;2906078
exp1c;control-customactionselection;32;10;2254523
exp1c;control-customactionselection;16;1;3025668
exp1c;control-customactionselection;16;2;3064620
exp1c;control-customactionselection;16;3;3109542
exp1c;control-customactionselection;16;4;3225436
exp1c;control-customactionselection;16;5;2972978
exp1c;control-customactionselection;16;6;2957120
exp1c;control-customactionselection;16;7;2955037
exp1c;control-customactionselection;16;8;2980158
exp1c;control-customactionselection;16;9;3020115
exp1c;control-customactionselection;16;10;3147331
exp1c;experimental;27;1;3642052
exp1c;experimental;27;2;801980
exp1c;experimental;27;3;4118650
exp1c;experimental;27;4;404641
exp1c;experimental;27;5;3477680
exp1c;experimental;27;6;3947037
exp1c;experimental;27;7;3773272
exp1c;experimental;27;8;3101273
exp1c;experimental;27;9;4238437
exp1c;experimental;27;10;1338690
exp1c;plain;3;1;344966
exp1c;plain;3;2;363589
exp1c;plain;3;3;359654
exp1c;plain;3;4;372352
exp1c;plain;3;5;367831
exp1c;plain;3;6;368198
exp1c;plain;3;7;356778
exp1c;plain;3;8;378292
exp1c;plain;3;9;373206
exp1c;plain;3;10;363692
exp1c;control-customactionselection;25;1;3021836
exp1c;control-customactionselection;25;2;2658614
exp1c;control-customactionselection;25;3;2688667
exp1c;control-customactionselection;25;4;2988570
exp1c;control-customactionselection;25;5;2961466
exp1c;control-customactionselection;25;6;2976928
exp1c;control-customactionselection;25;7;2967853
exp1c;control-customactionselection;25;8;2581762
exp1c;control-customactionselection;25;9;2834623
exp1c;control-customactionselection;25;10;2999229
exp1c;experimental;23;1;3519448
exp1c;experimental;23;2;3405614
exp1c;experimental;23;3;3849616
exp1c;experimental;23;4;4551353
exp1c;experimental;23;5;5779734
exp1c;experimental;23;6;5724449
exp1c;experimental;23;7;6631201
exp1c;experimental;23;8;4037009
exp1c;experimental;23;9;6769930
exp1c;experimental;23;10;6626563
exp1c;control-customactionselection;6;1;2971742
exp1c;control-customactionselection;6;2;2698097
exp1c;control-customactionselection;6;3;2855534
exp1c;control-customactionselection;6;4;2899117
exp1c;control-customactionselection;6;5;2806862
exp1c;control-customactionselection;6;6;2856244
exp1c;control-customactionselection;6;7;2800591
exp1c;control-customactionselection;6;8;2815280
exp1c;control-customactionselection;6;9;2807674
exp1c;control-customactionselection;6;10;2817517
exp1c;plain;30;1;366927
exp1c;plain;30;2;329205
exp1c;plain;30;3;338673
exp1c;plain;30;4;375065
exp1c;plain;30;5;366238
exp1c;plain;30;6;344396
exp1c;plain;30;7;365240
exp1c;plain;30;8;343620
exp1c;plain;30;9;374302
exp1c;plain;30;10;335970
exp1c;control-defaultactionselection;3;1;3634133
exp1c;control-defaultactionselection;3;2;3321919
exp1c;control-defaultactionselection;3;3;3336107
exp1c;control-defaultactionselection;3;4;3410303
exp1c;control-defaultactionselection;3;5;2831853
exp1c;control-defaultactionselection;3;6;3149238
exp1c;control-defaultactionselection;3;7;3045364
exp1c;control-defaultactionselection;3;8;3320666
exp1c;control-defaultactionselection;3;9;2713098
exp1c;control-defaultactionselection;3;10;3356274
exp1c;control-defaultactionselection;12;1;3242663
exp1c;control-defaultactionselection;12;2;4091084
exp1c;control-defaultactionselection;12;3;4170455
exp1c;control-defaultactionselection;12;4;3233504
exp1c;control-defaultactionselection;12;5;1193588
exp1c;control-defaultactionselection;12;6;3469493
exp1c;control-defaultactionselection;12;7;3601213
exp1c;control-defaultactionselection;12;8;2885983
exp1c;control-defaultactionselection;12;9;2891663
exp1c;control-defaultactionselection;12;10;2836966
exp1c;control-customactionselection;33;1;2586365
exp1c;control-customactionselection;33;2;2916702
exp1c;control-customactionselection;33;3;2677927
exp1c;control-customactionselection;33;4;2800120
exp1c;control-customactionselection;33;5;654443
exp1c;control-customactionselection;33;6;601410
exp1c;control-customactionselection;33;7;2447948
exp1c;control-customactionselection;33;8;2730595
exp1c;control-customactionselection;33;9;2853877
exp1c;control-customactionselection;33;10;2836230
exp1c;control-defaultactionselection;2;1;3655649
exp1c;control-defaultactionselection;2;2;3319376
exp1c;control-defaultactionselection;2;3;3433197
exp1c;control-defaultactionselection;2;4;3285689
exp1c;control-defaultactionselection;2;5;3209093
exp1c;control-defaultactionselection;2;6;3417896
exp1c;control-defaultactionselection;2;7;734035
exp1c;control-defaultactionselection;2;8;2339580
exp1c;control-defaultactionselection;2;9;3254594
exp1c;control-defaultactionselection;2;10;3357769
exp1c;experimental;1;1;3285817
exp1c;experimental;1;2;3107178
exp1c;experimental;1;3;3347896
exp1c;experimental;1;4;3451988
exp1c;experimental;1;5;3414695
exp1c;experimental;1;6;1310237
exp1c;experimental;1;7;849998
exp1c;experimental;1;8;3842165
