Experiment;Condition;Run;Sequence;Total;Application
exp1c;control-customactionselection;12;8;11772;9117
exp1c;control-customactionselection;12;4;11368;8713
exp1c;control-customactionselection;12;1;10229;7580
exp1c;control-customactionselection;12;7;11772;9117
exp1c;control-customactionselection;12;3;11218;8563
exp1c;control-customactionselection;12;6;11772;9117
exp1c;control-customactionselection;12;0;8745;6173
exp1c;control-customactionselection;12;5;11448;8793
exp1c;control-customactionselection;12;9;11772;9117
exp1c;control-customactionselection;12;2;10402;7747
exp1c;control-customactionselection;23;8;11667;8933
exp1c;control-customactionselection;23;6;11463;8729
exp1c;control-customactionselection;23;4;10743;8024
exp1c;control-customactionselection;23;5;10823;8104
exp1c;control-customactionselection;23;0;8317;5976
exp1c;control-customactionselection;23;3;10360;7641
exp1c;control-customactionselection;23;2;10360;7641
exp1c;control-customactionselection;23;1;10286;7567
exp1c;control-customactionselection;23;7;11476;8742
exp1c;control-customactionselection;23;9;11667;8933
exp1c;control-defaultactionselection;18;5;14430;11652
exp1c;control-defaultactionselection;18;0;9410;6714
exp1c;control-defaultactionselection;18;6;14526;11748
exp1c;control-defaultactionselection;18;2;13458;10731
exp1c;control-defaultactionselection;18;1;11160;8441
exp1c;control-defaultactionselection;18;3;14224;11446
exp1c;control-defaultactionselection;18;7;14526;11748
exp1c;control-defaultactionselection;18;4;14427;11649
exp1c;control-defaultactionselection;18;8;14526;11748
exp1c;control-defaultactionselection;18;9;14564;11780
exp1c;control-defaultactionselection;4;3;14657;11642
exp1c;control-defaultactionselection;4;8;14923;11908
exp1c;control-defaultactionselection;4;5;14804;11789
exp1c;control-defaultactionselection;4;4;14804;11789
exp1c;control-defaultactionselection;4;9;14923;11908
exp1c;control-defaultactionselection;4;6;14828;11813
exp1c;control-defaultactionselection;4;7;14832;11817
exp1c;control-defaultactionselection;4;1;12727;10000
exp1c;control-defaultactionselection;4;0;11779;9060
exp1c;control-defaultactionselection;4;2;13248;10290
exp1c;control-defaultactionselection;14;7;14103;11320
exp1c;control-defaultactionselection;14;8;14103;11320
exp1c;control-defaultactionselection;14;5;13443;10660
exp1c;control-defaultactionselection;14;6;14103;11320
exp1c;control-defaultactionselection;14;1;12328;9581
exp1c;control-defaultactionselection;14;9;14147;11364
exp1c;control-defaultactionselection;14;0;11323;8584
exp1c;control-defaultactionselection;14;3;13413;10630
exp1c;control-defaultactionselection;14;4;13438;10655
exp1c;control-defaultactionselection;14;2;13005;10222
exp1c;experimental;2;1;9882;7536
exp1c;experimental;2;4;11227;8788
exp1c;experimental;2;3;10839;8416
exp1c;experimental;2;7;12481;9808
exp1c;experimental;2;9;12481;9808
exp1c;experimental;2;0;9452;7106
exp1c;experimental;2;5;11612;8947
exp1c;experimental;2;2;10237;7891
exp1c;experimental;2;6;11612;8947
exp1c;control-customactionselection;3;7;11858;9382
exp1c;control-customactionselection;3;9;11858;9382
exp1c;control-customactionselection;3;3;11239;8763
exp1c;control-customactionselection;3;4;11392;8916
exp1c;control-customactionselection;3;1;9198;6787
exp1c;control-customactionselection;3;6;11858;9382
exp1c;control-customactionselection;3;0;8447;6037
exp1c;control-customactionselection;3;8;11858;9382
exp1c;control-customactionselection;3;5;11628;9152
exp1c;control-customactionselection;3;2;10227;7751
exp1c;control-defaultactionselection;8;9;14747;11738
exp1c;control-defaultactionselection;8;2;12881;10103
exp1c;control-defaultactionselection;8;8;14359;11581
exp1c;control-defaultactionselection;8;5;13927;11149
exp1c;control-defaultactionselection;8;0;8607;6266
exp1c;control-defaultactionselection;8;4;13849;11071
exp1c;control-defaultactionselection;8;3;13395;10617
exp1c;control-defaultactionselection;8;1;11895;9153
exp1c;control-defaultactionselection;8;7;14100;11322
exp1c;control-defaultactionselection;8;6;14100;11322
exp1c;control-defaultactionselection;25;0;13460;10983
exp1c;control-defaultactionselection;25;3;14366;11588
exp1c;control-defaultactionselection;25;4;14366;11588
exp1c;control-defaultactionselection;25;8;14466;11682
exp1c;control-defaultactionselection;25;6;14366;11588
exp1c;control-defaultactionselection;25;2;14293;11515
