Experiment;Condition;Run;Sequence;Result
exp1c;plain;19;6;0
exp1c;plain;19;7;0
exp1c;plain;19;8;0
exp1c;plain;19;9;0
exp1c;plain;19;10;0
exp1c;experimental;15;1;0
exp1c;experimental;15;2;0
exp1c;experimental;15;3;0
exp1c;experimental;15;4;0
exp1c;experimental;15;5;0
exp1c;experimental;15;6;0
exp1c;experimental;15;7;1
exp1c;experimental;15;8;0
exp1c;experimental;15;9;0
exp1c;experimental;15;10;1
exp1c;experimental;16;1;0
exp1c;experimental;16;2;0
exp1c;experimental;16;3;0
exp1c;experimental;16;4;0
exp1c;experimental;16;5;0
exp1c;experimental;16;6;0
exp1c;experimental;16;7;0
exp1c;experimental;16;8;1
exp1c;experimental;16;9;1
exp1c;experimental;16;10;0
exp1c;control-customactionselection;21;1;0
exp1c;control-customactionselection;21;2;0
exp1c;control-customactionselection;21;3;0
exp1c;control-customactionselection;21;4;0
exp1c;control-customactionselection;21;5;0
exp1c;control-customactionselection;21;6;0
exp1c;control-customactionselection;21;7;0
exp1c;control-customactionselection;21;8;0
exp1c;control-customactionselection;21;9;0
exp1c;control-customactionselection;21;10;0
exp1c;experimental;38;1;0
exp1c;experimental;38;2;0
exp1c;experimental;38;3;0
exp1c;experimental;38;4;0
exp1c;experimental;38;5;1
exp1c;experimental;38;6;1
exp1c;experimental;38;7;0
exp1c;experimental;38;8;0
exp1c;experimental;38;9;0
exp1c;experimental;38;10;0
exp1c;experimental;56;1;0
exp1c;experimental;56;2;0
exp1c;experimental;56;3;1
exp1c;experimental;56;4;0
exp1c;experimental;56;5;0
exp1c;experimental;56;6;0
exp1c;experimental;56;7;0
exp1c;experimental;56;8;0
exp1c;experimental;56;9;0
exp1c;experimental;56;10;1
exp1c;control-customactionselection;19;1;0
exp1c;control-customactionselection;19;2;0
exp1c;control-customactionselection;19;3;0
exp1c;control-customactionselection;19;4;0
exp1c;control-customactionselection;19;5;0
exp1c;control-customactionselection;19;6;0
exp1c;control-customactionselection;19;7;0
exp1c;control-customactionselection;19;8;1
exp1c;control-customactionselection;19;9;0
exp1c;control-customactionselection;19;10;0
exp1c;control-customactionselection;12;1;1
exp1c;control-customactionselection;12;2;0
exp1c;control-customactionselection;12;3;0
exp1c;control-customactionselection;12;4;0
exp1c;control-customactionselection;12;5;0
exp1c;control-customactionselection;12;6;0
exp1c;control-customactionselection;12;7;0
exp1c;control-customactionselection;12;8;0
exp1c;control-customactionselection;12;9;0
exp1c;control-customactionselection;12;10;0
exp1c;control-customactionselection;23;1;0
exp1c;control-customactionselection;23;2;0
exp1c;control-customactionselection;23;3;0
exp1c;control-customactionselection;23;4;0
exp1c;control-customactionselection;23;5;0
exp1c;control-customactionselection;23;6;0
exp1c;control-customactionselection;23;7;0
exp1c;control-customactionselection;23;8;0
exp1c;control-customactionselection;23;9;0
exp1c;control-customactionselection;23;10;0
exp1c;plain;6;1;0
exp1c;plain;6;2;1
exp1c;plain;6;3;0
exp1c;plain;6;4;0
