Experiment;Condition;Run;Sequence;Total;Application
exp1i;control-defaultactionselection;18;7;8230;4543
exp1i;control-defaultactionselection;18;2;2607;1237
exp1i;control-defaultactionselection;18;6;2607;1237
exp1i;control-defaultactionselection;18;1;1930;1197
exp1i;control-defaultactionselection;18;8;1894;1156
exp1i;control-customactionselection;29;7;11559;7654
exp1i;control-customactionselection;29;5;12158;8105
exp1i;control-customactionselection;29;6;1884;1153
exp1i;control-customactionselection;29;2;1888;1150
exp1i;control-customactionselection;29;4;11972;8027
exp1i;control-customactionselection;29;0;11676;7559
exp1i;control-customactionselection;29;8;1897;1155
exp1i;control-customactionselection;29;3;1871;1146
exp1i;control-customactionselection;29;9;1959;1197
exp1i;control-customactionselection;29;1;12729;8507
exp1i;control-customactionselection;22;6;13709;9586
exp1i;control-customactionselection;22;5;13441;9318
exp1i;control-customactionselection;22;2;11583;7601
exp1i;control-customactionselection;22;0;10943;6970
exp1i;control-customactionselection;22;1;11036;7060
exp1i;control-customactionselection;22;8;12201;8092
exp1i;control-customactionselection;22;9;13922;9702
exp1i;control-customactionselection;22;4;12634;8519
exp1i;control-customactionselection;22;3;12493;8382
exp1i;control-defaultactionselection;1;6;15243;10896
exp1i;control-defaultactionselection;1;7;15243;10896
exp1i;control-defaultactionselection;1;8;15905;11558
exp1i;control-defaultactionselection;1;2;14017;9707
exp1i;control-defaultactionselection;1;4;14456;10142
exp1i;control-defaultactionselection;1;5;14920;10573
exp1i;control-defaultactionselection;1;9;16211;11864
exp1i;control-defaultactionselection;1;1;14017;9707
exp1i;control-defaultactionselection;1;3;14456;10142
exp1i;control-defaultactionselection;1;0;13297;9001
exp1i;control-customactionselection;16;9;15222;10961
exp1i;control-customactionselection;16;7;15093;10838
exp1i;control-customactionselection;16;3;14232;10026
exp1i;control-customactionselection;16;2;13835;9629
exp1i;control-customactionselection;16;5;15075;10820
exp1i;control-customactionselection;16;1;12837;8756
exp1i;control-customactionselection;16;8;15093;10838
exp1i;control-customactionselection;16;0;12332;8251
exp1i;control-customactionselection;16;6;15093;10838
exp1i;control-customactionselection;16;4;15075;10820
exp1i;control-customactionselection;13;3;13491;9271
exp1i;control-customactionselection;13;1;12663;8580
exp1i;control-customactionselection;13;0;12072;7992
exp1i;control-customactionselection;13;5;14447;10227
exp1i;control-customactionselection;13;8;14669;10435
exp1i;control-customactionselection;13;6;14506;10280
exp1i;control-customactionselection;13;4;14005;9785
exp1i;control-customactionselection;13;9;15100;10864
exp1i;control-customactionselection;13;7;14669;10435
exp1i;control-customactionselection;13;2;13415;9209
exp1i;experimental;3;7;17705;12654
exp1i;experimental;3;8;17747;12696
exp1i;experimental;3;5;17435;12385
exp1i;experimental;3;0;15458;10594
exp1i;experimental;3;2;16423;11553
exp1i;experimental;3;4;17435;12385
exp1i;experimental;3;3;16508;11624
exp1i;experimental;3;6;17705;12654
exp1i;experimental;3;9;17747;12696
exp1i;experimental;3;1;15650;10786
exp1i;experimental;12;4;15037;10644
exp1i;experimental;12;1;13850;9573
exp1i;experimental;12;5;15255;10862
exp1i;experimental;12;3;15000;10614
exp1i;experimental;12;9;15342;10931
exp1i;experimental;12;2;14626;10240
exp1i;experimental;12;0;11738;7641
exp1i;experimental;12;6;15255;10862
exp1i;experimental;12;7;15338;10931
exp1i;experimental;12;8;15342;10931
exp1i;control-defaultactionselection;15;2;14397;10248
exp1i;control-defaultactionselection;15;8;15795;11625
exp1i;control-defaultactionselection;15;7;15795;11625
exp1i;control-defaultactionselection;15;0;9281;5296
exp1i;control-defaultactionselection;15;4;15381;11211
exp1i;control-defaultactionselection;15;6;15782;11612
exp1i;control-defaultactionselection;15;9;15795;11625
exp1i;control-defaultactionselection;15;1;12709;8598
exp1i;control-defaultactionselection;15;3;15335;11165
exp1i;control-defaultactionselection;15;5;15381;11211
exp1i;control-customactionselection;11;4;14412;10183
exp1i;control-customactionselection;11;8;15040;10791
exp1i;control-customactionselection;11;1;12494;8411
exp1i;control-customactionselection;11;7;14980;10737
exp1i;control-customactionselection;11;2;14115;9887
exp1i;control-customactionselection;11;6;14980;10737
exp1i;control-customactionselection;11;3;14248;10020
exp1i;control-customactionselection;11;0;10954;6982
exp1i;control-customactionselection;11;9;15125;10876
exp1i;control-customactionselection;11;5;14505;10262
