Experiment;Condition;Run;Sequence;Time
exp1i;plain;30;1;427343
exp1i;plain;30;2;417288
exp1i;plain;30;3;381378
exp1i;plain;30;4;414396
exp1i;plain;30;5;350067
exp1i;plain;30;6;423476
exp1i;plain;30;7;429656
exp1i;plain;30;8;411303
exp1i;plain;30;9;369164
exp1i;plain;30;10;409198
exp1i;control-defaultactionselection;1;1;2594053
exp1i;control-defaultactionselection;1;2;1995255
exp1i;control-defaultactionselection;1;3;1432915
exp1i;control-defaultactionselection;1;4;2652710
exp1i;control-defaultactionselection;1;5;1402763
exp1i;control-defaultactionselection;1;6;2328110
exp1i;control-defaultactionselection;1;7;2047117
exp1i;control-defaultactionselection;1;8;1542576
exp1i;control-defaultactionselection;1;9;2432551
exp1i;control-defaultactionselection;1;10;2582349
exp1i;control-customactionselection;16;1;2364077
exp1i;control-customactionselection;16;2;1953646
exp1i;control-customactionselection;16;3;2295829
exp1i;control-customactionselection;16;4;2272981
exp1i;control-customactionselection;16;5;2003188
exp1i;control-customactionselection;16;6;2439414
exp1i;control-customactionselection;16;7;1931571
exp1i;control-customactionselection;16;8;1897048
exp1i;control-customactionselection;16;9;2396669
exp1i;control-customactionselection;16;10;2318470
exp1i;control-customactionselection;13;1;2361151
exp1i;control-customactionselection;13;2;2943935
exp1i;control-customactionselection;13;3;2563664
exp1i;control-customactionselection;13;4;1355353
exp1i;control-customactionselection;13;5;2605530
exp1i;control-customactionselection;13;6;2032830
exp1i;control-customactionselection;13;7;2151632
exp1i;control-customactionselection;13;8;1744062
exp1i;control-customactionselection;13;9;1309604
exp1i;control-customactionselection;13;10;2156729
exp1i;experimental;3;1;3227225
exp1i;experimental;3;2;2504767
exp1i;experimental;3;3;2813727
exp1i;experimental;3;4;1840437
exp1i;experimental;3;5;2780884
exp1i;experimental;3;6;2818049
exp1i;experimental;3;7;2370905
exp1i;experimental;3;8;2361119
exp1i;experimental;3;9;2316776
exp1i;experimental;3;10;2051364
exp1i;plain;25;1;380016
exp1i;plain;25;2;356676
exp1i;plain;25;3;426190
exp1i;plain;25;4;418595
exp1i;plain;25;5;406695
exp1i;plain;25;6;340959
exp1i;plain;25;7;364774
exp1i;plain;25;8;422046
exp1i;plain;25;9;389155
exp1i;plain;25;10;403479
exp1i;experimental;12;1;2696390
exp1i;experimental;12;2;2759824
exp1i;experimental;12;3;3357782
exp1i;experimental;12;4;3160132
exp1i;experimental;12;5;2596541
exp1i;experimental;12;6;3024067
exp1i;experimental;12;7;2569106
exp1i;experimental;12;8;2283954
exp1i;experimental;12;9;2155716
exp1i;experimental;12;10;3067511
exp1i;control-defaultactionselection;15;1;1575644
exp1i;control-defaultactionselection;15;2;2663282
exp1i;control-defaultactionselection;15;3;2854948
exp1i;control-defaultactionselection;15;4;2706634
exp1i;control-defaultactionselection;15;5;2459231
exp1i;control-defaultactionselection;15;6;1478704
exp1i;control-defaultactionselection;15;7;1929025
exp1i;control-defaultactionselection;15;8;1669886
exp1i;control-defaultactionselection;15;9;1645275
exp1i;control-defaultactionselection;15;10;2536815
exp1i;control-customactionselection;11;1;2442243
exp1i;control-customactionselection;11;2;2160396
exp1i;control-customactionselection;11;3;2472751
exp1i;control-customactionselection;11;4;2259248
exp1i;control-customactionselection;11;5;2357381
exp1i;control-customactionselection;11;6;1686797
exp1i;control-customactionselection;11;7;2229899
exp1i;control-customactionselection;11;8;2328853
exp1i;control-customactionselection;11;9;2342910
exp1i;control-customactionselection;11;10;2421196
exp1i;control-customactionselection;6;1;2100949
exp1i;control-customactionselection;6;2;2135198
exp1i;control-customactionselection;6;3;2162306
exp1i;control-customactionselection;6;4;2032025
exp1i;control-customactionselection;6;5;2004113
exp1i;control-customactionselection;6;6;2538261
exp1i;control-customactionselection;6;7;2295639
exp1i;control-customactionselection;6;8;2105601
exp1i;control-customactionselection;6;9;2321019
exp1i;control-customactionselection;6;10;2197779
exp1i;plain;26;1;357131
exp1i;plain;26;2;342909
exp1i;plain;26;3;402535
exp1i;plain;26;4;368455
exp1i;plain;26;5;414571
exp1i;plain;26;6;340235
exp1i;plain;26;7;376058
exp1i;plain;26;8;370382
exp1i;plain;26;9;379313
exp1i;plain;26;10;362214
exp1i;experimental;7;1;2867083
exp1i;experimental;7;2;2638754
exp1i;experimental;7;3;2530055
exp1i;experimental;7;4;2523225
exp1i;experimental;7;5;1676665
exp1i;experimental;7;6;4081434
exp1i;experimental;7;7;2840159
exp1i;experimental;7;8;2030972
exp1i;experimental;7;9;1948617
exp1i;experimental;7;10;2484167
exp1i;control-customactionselection;24;1;2181723
exp1i;control-customactionselection;24;2;1621195
exp1i;control-customactionselection;24;3;2101697
exp1i;control-customactionselection;24;4;2447695
exp1i;control-customactionselection;24;5;1009163
exp1i;control-customactionselection;24;6;2670287
exp1i;control-customactionselection;24;7;2248475
exp1i;control-customactionselection;24;8;2443801
exp1i;control-customactionselection;24;9;2280125
exp1i;control-customactionselection;24;10;2164744
exp1i;control-customactionselection;5;1;2465458
exp1i;control-customactionselection;5;2;2281533
exp1i;control-customactionselection;5;3;2022998
exp1i;control-customactionselection;5;4;2264057
exp1i;control-customactionselection;5;5;2417429
exp1i;control-customactionselection;5;6;1407789
exp1i;control-customactionselection;5;7;2676968
exp1i;control-customactionselection;5;8;2522776
exp1i;control-customactionselection;5;9;2416597
exp1i;control-customactionselection;5;10;2367570
exp1i;plain;24;1;421224
exp1i;plain;24;2;421013
exp1i;plain;24;3;364180
exp1i;plain;24;4;403153
exp1i;plain;24;5;398892
exp1i;plain;24;6;429157
exp1i;plain;24;7;418689
exp1i;plain;24;8;419134
exp1i;plain;24;9;354736
exp1i;plain;24;10;417994
exp1i;control-defaultactionselection;42;1;1856428
exp1i;control-defaultactionselection;42;2;2720070
exp1i;control-defaultactionselection;42;3;2759900
exp1i;control-defaultactionselection;42;4;2443425
exp1i;control-defaultactionselection;42;5;1544757
exp1i;control-defaultactionselection;42;6;1831512
exp1i;control-defaultactionselection;42;7;1887782
exp1i;control-defaultactionselection;42;8;1902766
exp1i;control-defaultactionselection;42;9;2474178
exp1i;control-defaultactionselection;42;10;1720091
exp1i;control-defaultactionselection;34;1;2337176
exp1i;control-defaultactionselection;34;2;2414626
exp1i;control-defaultactionselection;34;3;2296573
