Experiment;Condition;Run;Sequence;Result
exp1i;plain;48;7;1
exp1i;plain;48;8;0
exp1i;plain;48;9;0
exp1i;plain;48;10;0
exp1i;experimental;8;1;0
exp1i;experimental;8;2;0
exp1i;experimental;8;3;0
exp1i;experimental;8;4;0
exp1i;experimental;8;5;0
exp1i;experimental;8;6;0
exp1i;experimental;8;7;0
exp1i;experimental;8;8;0
exp1i;experimental;8;9;0
exp1i;experimental;8;10;0
exp1i;control-defaultactionselection;22;1;0
exp1i;control-defaultactionselection;22;2;0
exp1i;control-defaultactionselection;22;3;0
exp1i;control-defaultactionselection;22;4;0
exp1i;control-defaultactionselection;22;5;0
exp1i;control-defaultactionselection;22;6;0
exp1i;control-defaultactionselection;22;7;0
exp1i;control-defaultactionselection;22;8;0
exp1i;control-defaultactionselection;22;9;0
exp1i;control-defaultactionselection;22;10;0
exp1i;plain;36;1;0
exp1i;plain;36;2;0
exp1i;plain;36;3;0
exp1i;plain;36;4;0
exp1i;plain;36;5;0
exp1i;plain;36;6;0
exp1i;plain;36;7;0
exp1i;plain;36;8;0
exp1i;plain;36;9;0
exp1i;plain;36;10;0
exp1i;control-customactionselection;20;1;0
exp1i;control-customactionselection;20;2;0
exp1i;control-customactionselection;20;3;0
exp1i;control-customactionselection;20;4;0
exp1i;control-customactionselection;20;5;0
exp1i;control-customactionselection;20;6;0
exp1i;control-customactionselection;20;7;0
exp1i;control-customactionselection;20;8;0
exp1i;control-customactionselection;20;9;0
exp1i;control-customactionselection;20;10;0
exp1i;plain;6;1;0
exp1i;plain;6;2;0
exp1i;plain;6;3;0
exp1i;plain;6;4;0
exp1i;plain;6;5;0
exp1i;plain;6;6;0
exp1i;plain;6;7;0
exp1i;plain;6;8;0
exp1i;plain;6;9;0
exp1i;plain;6;10;0
exp1i;plain;11;1;0
exp1i;plain;11;2;0
exp1i;plain;11;3;0
exp1i;plain;11;4;0
exp1i;plain;11;5;0
exp1i;plain;11;6;0
exp1i;plain;11;7;0
exp1i;plain;11;8;0
exp1i;plain;11;9;0
exp1i;plain;11;10;0
exp1i;plain;46;1;0
exp1i;plain;46;2;0
exp1i;plain;46;3;0
exp1i;plain;46;4;0
exp1i;plain;46;5;0
exp1i;plain;46;6;0
exp1i;plain;46;7;0
exp1i;plain;46;8;0
exp1i;plain;46;9;0
exp1i;plain;46;10;0
exp1i;control-customactionselection;7;1;0
exp1i;control-customactionselection;7;2;0
exp1i;control-customactionselection;7;3;0
exp1i;control-customactionselection;7;4;0
exp1i;control-customactionselection;7;5;0
